Crop,District,Office Name,PIN-code,Price,StateName,Vendor Name,Weight,id
Rice,SAHIBGANJ,Gaganpahari BO,816105,69,Jharkhand,Menusa,1.5,46
Garlic,BHIND,Pulawali B.O,477331,281,Madhya Pradesh,Datshayani,1,47
Carrots,BELLARY,Basarakodu B.O,583117,26.25,Karnataka,Manasavi,0.5,48
Potatoes,JAMNAGAR,Jamwali BO,360530,35.75,Gujarat,Priyavarthini,2,49
Grapes,RATNAGIRI,Kalamani Khurd B.O,415730,129.75,Maharashtra,Nirvika,2,50
Sweet Potatoes,RAISEN,Tamot B.O,464990,245.25,Madhya Pradesh,Bachittar,3,51
Capsicum,BHADRAK,Nandapur B.O,756138,180.5,Odisha,Rathitha,3,52
Rajma,DEWAS,Patrani B.O,455332,169.25,Madhya Pradesh,Rithikshan,1,53
Wheat,NAWANSHAHR,Behloor Kalan BO,144517,98.75,Punjab,Anissa,2.5,54
Spinach,SIKAR,Tiroki Badi BO,332029,53.5,Rajasthan,Vaatharshan,1,55
Sweet Potatoes,SRIKAKULAM,Venkateswara Colony S.O,532203,163.5,Andhra Pradesh,Lakshmikanthan,2,56
Strawberry,VAISHALI,Bahilwara Roopnath BO,844111,202,Bihar,Barathika,0.5,57
Onions,TIRUVANNAMALAI,Edathanur BO,606707,86.5,Tamil Nadu,Elantamizh,2,58
Masoor Dal,Udupi,Inna B.O,576121,146.75,Karnataka,Shreyash,1.5,59
Oats,ALWAR,Nagli B.O,301708,156,Rajasthan,Kripasagar,1,60
Grapes,SUNDERGARH,Mahesdihi S.O,770001,194.5,Odisha,Baha,3,61
Capsicum,BIKANER,Jalwali B.O,334001,180.5,Rajasthan,Deepavati,3,62
Tamarind,NORTH SIKKIM,Kabi BO,737116,347.75,West Bengal,Neyaamika,2,63
Rice,FAIZABAD,Sithauli BO,224119,138.25,Uttar Pradesh,Thiruthangan,3,64
Potatoes,Mandya,Haralakere B.O,571425,9,Karnataka,Vrujal,0.5,65
Garlic,NORTH DELHI,Pooth Khurd BO,110039,140.5,Delhi,Anupam,0.5,66
Carrots,MAHABUB NAGAR,Vepur B.O,509320,105.25,Telangana,Kansa,2,67
Rajma,JHUJHUNU,Bibasar B.O,333041,338.5,Rajasthan,Taneka,2,68
Barley,Krishna,Chitturu B.O,521150,203,Andhra Pradesh,Adwaith,1.5,69
Wheat,EAST CHAMPARAN,Hardia BO,845401,19.75,Bihar,Nadeena,0.5,70
Corn,OSMANABAD,Barul B.O,413601,379.75,Maharashtra,Safal,2,71
Cucumbers,ETAWAH,Ingurri BO,206124,41.25,Uttar Pradesh,Janadha,1,72
Tamarind,East Khasi Hills,Mawkynrew B.O,793015,434.75,Megalaya,Sashriti,2.5,73
Strawberry,MATHURA,Barchawali BO,281403,202,Uttar Pradesh,Hansal,0.5,74
Onions,MAHABUB NAGAR,Kothareddial B.O,506103,86.5,Telangana,Saisayan,2,75
Rajma,WEST SINGHBHUM,Jhinkpani SO,833215,338.5,Jharkhand,Omesa,2,76
Cucumbers,GHAZIPUR,Zamania SO,232329,82.75,Uttar Pradesh,Pari,2,77
Barley,FATEHPUR,Umari BO,212601,406,Uttar Pradesh,Vitul,3,78
Corn,PUNE,Nimgaon Sava B.O,410504,379.75,Maharashtra,Sangeerththan,2,79
Capsicum,AMRELI,Kanatalav BO,364515,120.25,Gujarat,Malathisha,2,80
Carrots,SATARA,Shirdhon B.O,415501,105.25,Maharashtra,Rangith,2,81
Grapes,Malegaon,Kukane B.O,423105,129.75,Maharashtra,Saron,2,82
Rice,DARBHANGA,Jorja BO,847101,138.25,Bihar,Chintya,3,83
Wheat,TIRUCHIRAPPALLI,Melavalady BO,621218,118.5,Tamil Nadu,Sriswaran,3,84
Spinach,MANDSAUR,Hatunia B.O,458667,160.75,Madhya Pradesh,Vedhika,3,85
Sweet Potatoes,BURHANPUR,Burhanpur S.O,450331,204.5,Madhya Pradesh,Arpan,2.5,86
Garlic,ALIGARH,Siroli BO,202130,843.25,Uttar Pradesh,Takshani,3,87
Potatoes,CHAMBA,Kuleth BO,176326,44.75,Himachal Pradesh,Bhruhanth,2.5,88
Oats,JAJAPUR,Haladidiha B.O,755016,390,Odisha,Rushvitha,2.5,89
Masoor Dal,BUXAR,Barka Singhanpura BO,802120,195.5,Bihar,Eswarya,2,90
Oats,CHANDRAPUR,H.L.C. S.O,442507,156,Maharashtra,Trimaan,1,91
Rice,HAVERI,Yalivigi B.O,581118,23,Karnataka,Imaiyavaramban,0.5,92
Potatoes,RATNAGIRI,Kalamani Khurd B.O,415730,44.75,Maharashtra,Raneeka,2.5,93
Wheat,KANPUR DEHAT,Indrarukh BO,209303,19.75,Uttar Pradesh,Naakaiah,0.5,94
Sweet Potatoes,SONITPUR,Lehugaon B.O,784176,41,Assam,Mithurana,0.5,95
Grapes,PALI,Atabara B.O,306104,97.25,Rajasthan,Tharuna,1.5,96
Tamarind,KHORDA,Haja B.O,752020,521.75,Odisha,Kaaveeya,3,97
Strawberry,Bastar,Dharampura S.O,494001,606.25,Chattisgarh,Mangiri,1.5,98
Garlic,TIRUCHIRAPPALLI,Thalamalaipatti B.O,621215,562,Tamil Nadu,Krishnala,2,99
Onions,VADODARA,SRP Group I SO,390001,64.75,Gujarat,Elluthini,1.5,100
Rajma,MURSHIDABAD,Islampore SO,742304,423,West Bengal,Kaliyukan,2.5,101
Corn,Kurnool,Aspari S.O,518347,284.75,Andhra Pradesh,Kirubahan,1.5,102
Cucumbers,HOOGHLY,Hawakhana BO,712403,103.5,West Bengal,Maral,2.5,103
Spinach,KANNUR,Perundattil BO,670107,53.5,Kerala,Sahithjan,1,104
Barley,SIRMAUR,Nahan HO,173001,406,Himachal Pradesh,Varadh,3,105
Carrots,NAMAKKAL,Velur (Namakkal) S.O,638182,79,Tamil Nadu,Pratapavate,1.5,106
Masoor Dal,SOUTH GOA,Mollem B.O,403410,49,Goa,Rangarajan,0.5,107
Capsicum,Uttara Kannada,Gullapur B.O,581337,150.5,Karnataka,Sathasivan,2.5,108
Oats,MAYURBHANJ,Jamsole B.O,757029,78,Odisha,Yanushaki,0.5,109
Cucumbers,BEED,Kekat Pangri B.O,431127,62,Maharashtra,Chandramani,1.5,110
Wheat,HYDERABAD,Kakatiya Nagar S.O,500008,118.5,Telangana,Sankeeth,3,111
Masoor Dal,NAMAKKAL,Kuppandapalayam B.O,637205,49,Tamil Nadu,Yuvakshi,0.5,112
Carrots,GORAKHPUR,Balua BO,273302,26.25,Uttar Pradesh,Dhaneshwar,0.5,113
Rajma,NAGAUR,Bhanwal B.O,341518,84.5,Rajasthan,Vedayashana,0.5,114
Grapes,ASHOK NAGAR,Singhada B.O,473440,64.75,Madhya Pradesh,Anthaaran,1,115
Corn,NABARANGAPUR,Maliguda B.O,764078,474.75,Odisha,Shephar,2.5,116
Garlic,NAGPUR,Borda B.O,441401,843.25,Maharashtra,Jaishitha,3,117
Spinach,BUXAR,Kasia BO,802126,134,Bihar,Mirnali,2.5,118
Rice,KALABURAGI,M. T palli B.O,585214,138.25,Karnataka,Naarayan,3,119
Potatoes,KARAULI,Jahangirpur BO,322255,9,Rajasthan,Gadhar,0.5,120
Barley,KRISHNAGIRI,Guruvinayanapalli B.O,635120,338.5,Tamil Nadu,Chittaprasad,2.5,121
Capsicum,DHULE,Junawane B.O,424311,120.25,Maharashtra,Swadheen,2,122
Tamarind,RAIPUR,Mohdi BO,493111,434.75,Chattisgarh,Daleela,2.5,123
Sweet Potatoes,NAINITAL,Narayanpur BO,263148,204.5,Uttarakhand,Mirium,2.5,124
Strawberry,BAGALKOT,Lakhamapur B.O,587201,1010.5,Karnataka,Shakinthan,2.5,125
Onions,PURULIYA,Ichhar BO,723145,21.5,West Bengal,Akanksha,0.5,126
Wheat,GONDA,Gaura Pandey BO,271305,98.75,Uttar Pradesh,Kamana,2.5,127
Barley,PUDUKKOTTAI,Muslim Street B.O,614616,67.75,Tamil Nadu,Ruchitha,0.5,128
Corn,RAMANATHAPURAM,Ariyangundu BO,623529,284.75,Tamil Nadu,Vinathith,1.5,129
Cucumbers,BOUDH,Baghiabahal S.O,762030,103.5,Odisha,Mudita,2.5,130
Tamarind,PONDICHERRY,Venkata Nagar SO,605011,521.75,Pondicherry,Bismeet,3,131
Garlic,JALGAON,Khedgaon Kh B.O,424105,843.25,Maharashtra,Kumuthini,3,132
Capsicum,PEDDAPALLI,Neerkula B.O,505185,30,Telangana,Chakria,0.5,133
Spinach,DEOGHAR,Chulhiya BO,814157,80.25,Jharkhand,Elanchezhian,1.5,134
Rice,ALLAHABAD,Bisauna BO,211012,115.25,Uttar Pradesh,Karthigasan,2.5,135
Onions,KORAPUT,Kamta B.O,764057,43.25,Odisha,Martand,1,136
Sweet Potatoes,ADILABAD,Tembi B.O,504307,122.75,Telangana,Aeindri,1.5,137
Oats,SHAJAPUR,Ranibarod B.O,465223,468,Madhya Pradesh,Naynthini,3,138
Masoor Dal,EAST CHAMPARAN,Bhurkurwa BO,845406,244.5,Bihar,Gokilaraj,2.5,139
Potatoes,ERODE,Akkaraikodiveri BO,638454,26.75,Tamil Nadu,Nivertha,1.5,140
Carrots,KRISHNAGIRI,Bannihalli B.O,635106,26.25,Tamil Nadu,Rajbir,0.5,141
Rajma,SOLAPUR,Navi Peth Solapur S.O,413001,507.5,Maharashtra,Vakshida,3,142
Grapes,BIRBHUM,Bhabanipur BO,731126,32.5,West Bengal,Athyaani,0.5,143
Strawberry,PATNA,Satya Bhaiya BO,803212,606.25,Bihar,Buddhida,1.5,144
Capsicum,TEHRI GARHWAL,Odadhar BO,249155,150.5,Uttarakhand,Tvarika,2.5,145
Onions,PUDUKKOTTAI,Vamban Colony B.O,622303,86.5,Tamil Nadu,Venkarajavan,2,146
Wheat,UDUPI,Kergal BO,576219,59.25,Karnataka,Lajita,1.5,147
Spinach,SRIKAKULAM,Venkateswara Colony S.O,532203,80.25,Andhra Pradesh,Jesarya,1.5,148
Oats,KORAPUT,Sadam B.O,764039,78,Odisha,Ponnila,0.5,149
Tamarind,KHORDA,Haja B.O,752020,347.75,Odisha,Mizna,2,150
Grapes,BHADRAK,Nandapur B.O,756138,32.5,Odisha,Vibhavari,0.5,151
Potatoes,NAVSARI,Bhatfalia BO,396310,9,Gujarat,Aamrutha,0.5,152
Sweet Potatoes,PARBHANI,Chatori B.O,431536,41,Maharashtra,Kitu,0.5,153
Cucumbers,INDORE,Maithwada B.O,453001,103.5,Madhya Pradesh,Keshvan,2.5,154
Corn,PALAMAU,Kushha BO,822120,95,Jharkhand,Rashantha,0.5,155
Masoor Dal,KOLKATA,RKSeva Pratisthan SO,700026,97.75,West Bengal,Shaarathan,1,156
Rajma,SONITPUR,Gelapukhuri B.O,784176,253.75,Assam,Harshu,1.5,157
Carrots,SOLAPUR,Umarge B.O,413216,26.25,Maharashtra,Rupaka,0.5,158
Barley,WAYANAD,Karadipara BO,673593,406,Kerala,Thevaraaga,3,159
Strawberry,BAGALKOT,Bhairmatti B.O,587115,1212.5,Karnataka,Ravithan,3,160
Garlic,RAJKOT,Chandli BO,360035,421.5,Gujarat,Emayani,1.5,161
Rice,MANCHERIAL,Pegdapally B.O,504216,46,Telangana,Lishwanth,1,162
Corn,SIRCILLA,Chintalathana B.O,505302,95,Telangana,Urvi,0.5,163
Strawberry,BHIWANI,Kharkhari Sohan BO,127040,808.25,Haryana,Vibirna,2,164
Onions,HAMIRPURHP,Patnaun BO,177023,86.5,Himachal Pradesh,Palaksh,2,165
Spinach,GUNTUR,Chintapalle B.O,522409,53.5,Andhra Pradesh,Tilakshee,1,166
Rice,ERNAKULAM,ChittoorEkm SO,682027,115.25,Kerala,Chithralekha,2.5,167
Wheat,UJJAIN,Paslod B.O,456221,19.75,Madhya Pradesh,Kandhasamy,0.5,168
Sweet Potatoes,NAYAGARH,Khatia B.O,752079,245.25,Odisha,Jahanavi,3,169
Carrots,SOUTH DINAJPUR,Chandganj BO,733141,79,West Bengal,Vasanthan,1.5,170
Potatoes,PATNA,SANDA BO,804452,17.75,Bihar,Vaedhamithra,1,171
Garlic,NARMADA,Vagharali BO,393151,843.25,Gujarat,Vasuda,3,172
Rajma,CHITTOOR,Akkarampalli B.O,517507,253.75,Andhra Pradesh,Santhru,1.5,173
Cucumbers,SIVAGANGA,Kottaiyur BO,630702,41.25,Tamil Nadu,Duveena,1,174
Oats,MANCHERIAL,Tiryani S.O,504297,156,Telangana,Ansel,1,175
Capsicum,THANE,Dhasai B.O,421601,60.25,Maharashtra,Ritajit,1,176
Barley,Sangli,Malangaon B.O,416419,406,Maharashtra,Vethoosh,3,177
Masoor Dal,MALAPPURAM,Koorad BO,679339,244.5,Kerala,Denisa,2.5,178
Tamarind,SHIVPURI,Jorai B.O,473793,87,Madhya Pradesh,Siddart,0.5,179
Grapes,RANGAREDDY,Chaitanyapuri Colony S.O,500060,162.25,Telangana,Baidehi,2.5,180
Garlic,KOTTAYAM,Thalumkal BO,686514,281,Kerala,Viplava,1,181
Rice,THANJAVUR,Sakkarasamandam B.O,613002,138.25,Tamil Nadu,Sumanan,3,182
Capsicum,BELAGAVI,Budarkatti B.O,591104,30,Karnataka,Thivishan,0.5,183
Masoor Dal,PRATAPGARH,Amawan BO,230132,97.75,Uttar Pradesh,Rahini,1,184
Tamarind,RAJNANDGAON,Lalutola BO,491557,347.75,Chattisgarh,Kaaru,2,185
Potatoes,Malegaon,Dahiwal B.O,423105,9,Maharashtra,Abinisha,0.5,186
Carrots,CHITRAKOOT,Khatwara BO,210207,52.75,Uttar Pradesh,Logisha,1,187
Rajma,NALANDA,Mai BO,801302,338.5,Bihar,Anbarkkanban,2,188
Onions,SANT KABIR NAGAR,Madhopur BO,272162,129.75,Uttar Pradesh,Logazhni,3,189
Grapes,NAWADA,Bilari BO,805130,97.25,Bihar,Thashvarmen,1.5,190
Sweet Potatoes,LUCKNOW,Military Hospital SO,226002,41,Uttar Pradesh,Tejaswinee,0.5,191
Strawberry,CHITTOOR,Sadasivapuram B.O,517643,1010.5,Andhra Pradesh,Mridhula,2.5,192
Oats,BAHRAICH,Kundwa BO,271855,390,Uttar Pradesh,Abarnicca,2.5,193
Wheat,KANDHAMAL,Kanjamendi B.O,762102,39.5,Odisha,Dhavanitha,1,194
Cucumbers,KENDUJHAR,Uchaabali B.O,758025,82.75,Odisha,Vasandhi,2,195
Corn,BALESWAR,Chaumukh B.O,756083,189.75,Odisha,Kaaviyen,1,196
Barley,BELAGAVI,Tondikatti B.O,591130,203,Karnataka,Priyabrat,1.5,197
Spinach,UDUPI,Kuchur B.O,576112,134,Karnataka,Sukanth,2.5,198
Carrots,ALWAR,Rata Khurd B.O,301023,105.25,Rajasthan,Nirujitha,2,199
Onions,BARMER,Hathitala B.O,344708,86.5,Rajasthan,Devaraji,2,200
Capsicum,CHATRA,Barisakhi BO,825408,120.25,Jharkhand,Poojan,2,201
Barley,UDUPI,Kollur SO,576220,135.25,Karnataka,Tarkshya,1,202
Strawberry,SAWAI MADHOPUR,Isharda SO,322703,202,Rajasthan,Girubasri,0.5,203
Oats,SOUTH GOA,St. Jose De Areal S.O,403709,78,Goa,Eelavarasi,0.5,204
Sweet Potatoes,MIRZAPUR,Mohanpur Bhavrakh BO,231304,163.5,Uttar Pradesh,Drusty,2,205
Spinach,UDAIPUR,Dholia B.O,313604,53.5,Rajasthan,Kayanan,1,206
Grapes,ALWAR,Kanhawas B.O,301703,162.25,Rajasthan,Remina,2.5,207
Masoor Dal,KAMAREDDY,Jangamaipalli B.O,503122,293.25,Telangana,Hemanthsree,3,208
Rice,TIRUPPUR,Velarasivadamalaipalayam BO,641664,92,Tamil Nadu,Pravinash,2,209
Rajma,Dhalai,Chailengta S.O,799273,253.75,Tripura,Ritish,1.5,210
Potatoes,KOLKATA,Bonhooghly SO,700108,17.75,West Bengal,Ahanaeyan,1,211
Garlic,KARAULI,Sankarwada BO,321610,281,Rajasthan,Harivarthan,1,212
Corn,Warangal,Malakpalli B.O,506003,474.75,Telangana,Umaikuran,2.5,213
Tamarind,BEED,Manur B.O,413249,174,Maharashtra,Vidaysagar,1,214
Cucumbers,CHANDRAPUR,Bond B.O,441221,103.5,Maharashtra,Lavee,2.5,215
Wheat,SARAN,Bardahiya BO,841419,59.25,Bihar,Paranjay,1.5,216
Rice,SAHARSA,Chainpur BO,852212,115.25,Bihar,Kannagi,2.5,217
Strawberry,DHAR,Khareli B.O,454111,808.25,Madhya Pradesh,Vithurangan,2,218
Oats,MURSHIDABAD,Sahebrampur BO,742305,390,West Bengal,Leonen,2.5,219
Spinach,SATNA,Kulgarhi B.O,485446,53.5,Madhya Pradesh,Raemela,1,220
Wheat,SUPAUL,Kamargama BO,852218,39.5,Bihar,Visma,1,221
Tamarind,DHEMAJI,Somkong Pagar B.O,787061,174,Assam,Esther,1,222
Carrots,EAST CHAMPARAN,Izara BO,845419,131.5,Bihar,Kalini,2.5,223
Capsicum,AHMED NAGAR,Bhangaon B.O,413728,90.25,Maharashtra,Giribalan,1.5,224
Rajma,TIKAMGARH,Khargapur S.O,472115,169.25,Madhya Pradesh,Zenna,1,225
Masoor Dal,MADHUBANI,Laukahi Dhanchhiha BO,847108,195.5,Bihar,Sevak,2,226
Corn,NAGAUR,Billoo B.O,341542,95,Rajasthan,Meghavini,0.5,227
Barley,FAIZABAD,Sithauli BO,224119,135.25,Uttar Pradesh,Thamana,1,228
Garlic,EAST SINGHBHUM,Shankarda BO,832107,702.5,Jharkhand,Tanujhaa,2.5,229
Cucumbers,DHARMAPURI,Pulithikarai B.O,635202,62,Tamil Nadu,Minoshegan,1.5,230
Onions,KOLAR,Nidaramangala B.O,563137,108,Karnataka,Nathasan,2.5,231
Potatoes,JALNA,Maujpuri B.O,431214,44.75,Maharashtra,Laliyha,2.5,232
Grapes,BHADRAK,Kheranga B.O,756131,194.5,Odisha,Mitali,3,233
Sweet Potatoes,SURENDRA NAGAR,Thoriyali BO,363430,81.75,Gujarat,Meenaroshini,1,234
Tamarind,RAIGARH,Johe BO,402107,174,Maharashtra,Hiyaashini,1,235
Barley,ARIYALUR,Saluppai BO,612903,67.75,Tamil Nadu,Umapathi,0.5,236
Oats,BALLIA,Dubhar BO,277401,390,Uttar Pradesh,Sambhaji,2.5,237
Rice,BARDHAMAN,Gangutia BO,713333,92,West Bengal,Deetiya,2,238
Rajma,CHANDRAPUR,Sondo B.O,442905,338.5,Maharashtra,Waheeda,2,239
Carrots,KACHCHH,Nirona BO,370001,105.25,Gujarat,Baremnanth,2,240
Masoor Dal,ANGUL,Kalamchhuin B.O,759103,293.25,Odisha,Thushajini,3,241
Sweet Potatoes,YAMUNANAGAR,Ghillaur B.O,135133,245.25,Haryana,Madhumalati,3,242
Onions,BEMETARA,Bhatagaon BO,491331,43.25,Chattisgarh,Vimoshini,1,243
Potatoes,BOUDH,Lunibahal B.O,762024,9,Odisha,Mahalika,0.5,244
Grapes,PALI,Sesli B.O,306706,97.25,Rajasthan,Maiyurathan,1.5,245
Spinach,MAHABUB NAGAR,Lingampally B.O,509311,134,Telangana,Nitila,2.5,246
Garlic,JODHPUR,Soorsagar SO,342024,140.5,Rajasthan,Alita,0.5,247
Strawberry,GADAG,Gadag Extension S.O,582101,404.25,Karnataka,Arulkumar,1,248
Corn,THANJAVUR,Aladikkumulai S.O,614615,569.5,Tamil Nadu,Vipeeshnaa,3,249
Wheat,NORTH 24 PARGANAS,Jesur Jeoldanga BO,743233,79,West Bengal,Yarneesh,2,250
Cucumbers,MUMBAI,J.J.Hospital S.O,400008,62,Maharashtra,Telana,1.5,251
Capsicum,KACHCHH,Pipar BO,370655,150.5,Gujarat,Sanjivan,2.5,252
Strawberry,AKOLA,Umara B.O,444101,1010.5,Maharashtra,Ajusha,2.5,253
Grapes,VIZIANAGARAM,Kukkidi B.O,535523,97.25,Andhra Pradesh,Viyashanan,1.5,254
Garlic,ERNAKULAM,Kalady Plantation BO,683581,140.5,Kerala,Prabhaav,0.5,255
Spinach,THANE,Turbhe Market S.O,400703,26.75,Maharashtra,Thanusha,0.5,256
Capsicum,NAMAKKAL,Kokkarayanpettai BO,638007,90.25,Tamil Nadu,Tharmilan,1.5,257
Barley,TUTICORIN,Sekkarakudi S.O,628104,406,Tamil Nadu,Sasri,3,258
Carrots,BELAGAVI,Hiremanoli B.O,591112,79,Karnataka,Apanaya,1.5,259
Potatoes,KARIM NAGAR,Metpalli B.O,505470,53.5,Telangana,Hirushanth,3,260
Cucumbers,MALAPPURAM,Ariyallur SO,676312,20.75,Kerala,Vijayaluxmy,0.5,261
Onions,Malegaon,Yesgaon B.O,423212,86.5,Maharashtra,Manushree,2,262
Corn,KURUKSHETRA,Harigarh Kingan B.O,136034,379.75,Haryana,Mansiga,2,263
Tamarind,MAYURBHANJ,Hatbadra S.O,757050,521.75,Odisha,Vathusana,3,264
Masoor Dal,JALGAON,Talonde Digar B.O,424119,49,Maharashtra,Dihilan,0.5,265
Rice,TIRUPPUR,Karaiyur BO,638661,23,Tamil Nadu,Senni,0.5,266
Rajma,KANNUR,Perundattil BO,670107,169.25,Kerala,Anamay,1,267
Wheat,CHURU,Dhadharia Charnan B.O,331001,39.5,Rajasthan,Thanshiha,1,268
Oats,GANJAM,Kodala Bus Stand B.O,761032,156,Odisha,Takshii,1,269
Sweet Potatoes,REWA,Kharihan B.O,486448,122.75,Madhya Pradesh,Dhruv,1.5,270
Rajma,RAJNANDGAON,Kamhera BO,491558,423,Chattisgarh,Vibhuti,2.5,271
Wheat,KULLU,Karana BO,172026,118.5,Himachal Pradesh,Anumoditha,3,272
Corn,THIRUVANANTHAPURAM,Kallar Tvm BO,695551,189.75,Kerala,Ajisth,1,273
Rice,MEERUT,Uldhan BO,245206,138.25,Uttar Pradesh,Kaliram,3,274
Grapes,AGRA,Kalwari BO,283105,129.75,Uttar Pradesh,Hajantha,2,275
Spinach,PATAN,Gajdinpura BO,384245,53.5,Gujarat,Jevon,1,276
Oats,Leh,Hunder B.O,194401,468,Jammu and Kashmir,Kukenthan,3,277
Tamarind,MAINPURI,Madhan BO,205263,521.75,Uttar Pradesh,Vallav,3,278
Carrots,JAMNAGAR,Khojaberaja BO,361012,26.25,Gujarat,Arahni,0.5,279
Barley,Kolhapur,Ambap B.O,416112,67.75,Maharashtra,Kajanand,0.5,280
Potatoes,NALBARI,Barbari B.O,781351,9,Assam,Saanidhya,0.5,281
Masoor Dal,DAKSHINA KANNADA,Loretto B.O,574211,244.5,Karnataka,Ayyal,2.5,282
Onions,AGRA,Berichahar BO,283102,86.5,Uttar Pradesh,Nathyan,2,283
Garlic,BANKURA,Jalahari BO,722132,562,West Bengal,Atputhakrishnan,2,284
Cucumbers,SIBSAGAR,Barbaruakhat B.O,785692,62,Assam,Kaethushan,1.5,285
Sweet Potatoes,BARMER,Hathitala B.O,344708,245.25,Rajasthan,Satheesharan,3,286
Strawberry,RANCHI,Karkara BO,835214,606.25,Jharkhand,Deepankar,1.5,287
Capsicum,KULLU,Sargha BO,172201,120.25,Himachal Pradesh,Jwalan,2,288
Rajma,CUTTACK,Lekhanpur B.O,754201,253.75,Odisha,Grahish,1.5,289
Grapes,ALIGARH,Rehsupur BO,202128,32.5,Uttar Pradesh,Daulat,0.5,290
Rice,VIKARABAD,Antharam B.O,509335,138.25,Telangana,Jhanak,3,291
Garlic,Ananthapur,Kadiri S.O,515591,421.5,Andhra Pradesh,Hanish,1.5,292
Capsicum,NAGAON,Alitangani B.O,782124,30,Assam,Vishuthran,0.5,293
